2022-09-26 12:23:54,796 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "SoundCloud" (/usr/share/applications/soundcloud-nativefier.desktop)
2022-09-26 12:26:04,909 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/soundcloud-nativefier.desktop)
2022-09-26 15:36:37,478 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:37,483 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:39,486 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:39,487 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:41,489 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:41,490 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:43,494 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:43,496 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:45,500 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:45,503 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:47,506 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:47,507 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:49,510 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:49,512 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:51,517 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:51,519 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:53,522 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:53,524 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:55,527 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:55,529 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:57,533 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:57,536 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:36:59,540 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:36:59,543 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:37:01,545 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:37:01,546 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:37:03,551 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:37:03,553 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:28,244 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:28,247 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:30,252 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:30,254 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:32,256 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:32,259 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:34,264 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:34,267 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:36,269 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:36,269 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:38,274 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:38,276 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:40,281 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
2022-09-26 15:51:40,285 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.Preferences.desktop
2022-09-26 15:51:42,290 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop to DB -> /home/shasherazi/.local/share/applications/org.gnome.Shell.Extensions.GSConnect.desktop
